feature,source_mean,target_mean,source_std,target_std,mean_difference,standardized_mean_difference,abs_standardized_mean_difference
n_elements,3.8813643761001693,3.081524926686217,0.9902918702870538,0.7415874370551426,-0.7998394494139522,-0.9141861301193681,0.9141861301193681
mean_atomic_number,18.190429982494447,27.416814653319136,10.266693363054111,12.519348625346067,9.22638467082469,0.8057550541477704,0.8057550541477704
mean_atomic_mass,40.81130444828426,63.22719589653311,25.401753916190756,31.384023554009577,22.41589144824885,0.7850030724779867,0.7850030724779867
min_atomic_number,8.021355740808396,14.728445747800587,7.240382462720586,11.51159737499056,6.707090006992191,0.6973348615220343,0.6973348615220343
min_atomic_mass,16.669867361952573,31.673867896539587,16.601043465683492,27.429026719112837,15.004000534587014,0.6616718698524268,0.6616718698524268
composition_entropy,1.0534898128724923,0.9407308310322549,0.19306090343802518,0.20948585252830462,-0.11275898184023747,-0.559671304737797,0.559671304737797
total_atoms,45.02509216513335,26.125513196480938,42.86553163805174,24.94760656690299,-18.899578968652413,-0.5388638372176822,0.5388638372176822
density,4.055387602999115,4.887815872551706,1.6093852655181575,1.6372480846477409,0.8324282695525911,0.5126972708697959,0.5126972708697959
max_atomic_mass,111.58181244000797,127.47800807350147,56.500541880035904,53.40819885316745,15.896195633493505,0.2891060000097496,0.2891060000097496
max_atomic_number,46.755637849148094,52.733724340175954,21.3082660061415,20.102976988079384,5.9780864910278595,0.28855469230936936,0.28855469230936936
a,7.731178654132319,6.979862990058651,3.2042285238300634,3.0458307421935724,-0.751315664073668,-0.2403070446766221,0.2403070446766221
cell_volume,688.4413155893196,551.044723338644,680.4453734991253,584.973744012625,-137.39659225067567,-0.21651241407827176,0.21651241407827176
c,11.497405036900098,10.326424173782993,7.04094517595394,5.318400593726011,-1.170980863117105,-0.18765415762345625,0.18765415762345625
b,8.08041180284732,7.628613837548387,2.7349278993000246,2.929680196553367,-0.4517979652989341,-0.1593962557501288,0.1593962557501288
gamma,90.23984635308744,88.33596424034604,22.172975714169148,23.44712834095598,-1.9038821127413996,-0.08342101894555198,0.08342101894555198
beta,87.95026865390464,87.42798675144282,15.563883891183668,17.490733537980443,-0.5222819024618275,-0.03154231084398458,0.03154231084398458
alpha,85.66396635810854,85.72595640189442,16.902651209527264,18.588142980148216,0.06199004378588313,0.0034887965549039255,0.0034887965549039255
